taxa,process_id_1,species_1,process_id_2,species_2,distance
Parupeneus,MINDA317-23,Parupeneus multifasciatus,MINDA139-23,Parupeneus pleurostigma,16.769762
Parupeneus,MINDA317-23,Parupeneus multifasciatus,MINDA209-23,Parupeneus barberinus,11.376279
Parupeneus,MINDA317-23,Parupeneus multifasciatus,MINDA223-23,Parupeneus cyclostomus,13.797606
Parupeneus,MINDA319-23,Parupeneus barberinus,MINDA041-23,Parupeneus crassilabris,10.235778
Parupeneus,MINDA319-23,Parupeneus barberinus,MINDA094-23,Parupeneus heptacanthus,12.736871
Parupeneus,MINDA319-23,Parupeneus barberinus,MINDA139-23,Parupeneus pleurostigma,15.3376465
Parupeneus,MINDA319-23,Parupeneus barberinus,MINDA223-23,Parupeneus cyclostomus,14.600715
Parupeneus,MINDA319-23,Parupeneus barberinus,MINDA315-23,Parupeneus multifasciatus,12.2071905
Parupeneus,MINDA319-23,Parupeneus barberinus,MINDA316-23,Parupeneus multifasciatus,11.19479
Parupeneus,MINDA319-23,Parupeneus barberinus,MINDA317-23,Parupeneus multifasciatus,11.376279
Parupeneus,MINDA320-23,Parupeneus barberinoides,MINDA041-23,Parupeneus crassilabris,19.131542
Parupeneus,MINDA320-23,Parupeneus barberinoides,MINDA094-23,Parupeneus heptacanthus,17.196518
Parupeneus,MINDA320-23,Parupeneus barberinoides,MINDA139-23,Parupeneus pleurostigma,19.328146
Parupeneus,MINDA320-23,Parupeneus barberinoides,MINDA209-23,Parupeneus barberinus,18.057793
Parupeneus,MINDA320-23,Parupeneus barberinoides,MINDA223-23,Parupeneus cyclostomus,19.368492
Parupeneus,MINDA320-23,Parupeneus barberinoides,MINDA315-23,Parupeneus multifasciatus,18.036682
Parupeneus,MINDA320-23,Parupeneus barberinoides,MINDA316-23,Parupeneus multifasciatus,16.637342
Parupeneus,MINDA320-23,Parupeneus barberinoides,MINDA317-23,Parupeneus multifasciatus,16.834972
Parupeneus,MINDA320-23,Parupeneus barberinoides,MINDA319-23,Parupeneus barberinus,18.057793
Parupeneus,MINDA436-23,Parupeneus indicus,MINDA041-23,Parupeneus crassilabris,9.570479
Parupeneus,MINDA436-23,Parupeneus indicus,MINDA094-23,Parupeneus heptacanthus,13.944955
Parupeneus,MINDA436-23,Parupeneus indicus,MINDA139-23,Parupeneus pleurostigma,15.062222
Parupeneus,MINDA436-23,Parupeneus indicus,MINDA209-23,Parupeneus barberinus,2.7834752
Parupeneus,MINDA436-23,Parupeneus indicus,MINDA223-23,Parupeneus cyclostomus,13.547654
Parupeneus,MINDA436-23,Parupeneus indicus,MINDA315-23,Parupeneus multifasciatus,11.750452
Parupeneus,MINDA436-23,Parupeneus indicus,MINDA316-23,Parupeneus multifasciatus,10.500448
Parupeneus,MINDA436-23,Parupeneus indicus,MINDA317-23,Parupeneus multifasciatus,10.682599
Parupeneus,MINDA436-23,Parupeneus indicus,MINDA319-23,Parupeneus barberinus,2.7834752
Parupeneus,MINDA436-23,Parupeneus indicus,MINDA320-23,Parupeneus barberinoides,17.61164
Parupeneus,MINDA450-23,Parupeneus barberinus,MINDA041-23,Parupeneus crassilabris,10.106197
Parupeneus,MINDA450-23,Parupeneus barberinus,MINDA094-23,Parupeneus heptacanthus,12.992544
Parupeneus,MINDA450-23,Parupeneus barberinus,MINDA139-23,Parupeneus pleurostigma,15.652779
Parupeneus,MINDA450-23,Parupeneus barberinus,MINDA223-23,Parupeneus cyclostomus,14.703774
Parupeneus,MINDA450-23,Parupeneus barberinus,MINDA315-23,Parupeneus multifasciatus,12.3091135
Parupeneus,MINDA450-23,Parupeneus barberinus,MINDA316-23,Parupeneus multifasciatus,11.417907
Parupeneus,MINDA450-23,Parupeneus barberinus,MINDA317-23,Parupeneus multifasciatus,11.603436
Parupeneus,MINDA450-23,Parupeneus barberinus,MINDA320-23,Parupeneus barberinoides,18.438107
Parupeneus,MINDA450-23,Parupeneus barberinus,MINDA436-23,Parupeneus indicus,2.7834752
Dischistodus,MINDA268-23,Dischistodus pseudochrysopoecilus,MINDA058-23,Dischistodus perspicillatus,9.275578
Dischistodus,MINDA269-23,Dischistodus pseudochrysopoecilus,MINDA058-23,Dischistodus perspicillatus,9.621196
Stethojulis,MINDA013-23,Stethojulis bandanensis,MINDA011-23,Stethojulis strigiventer,17.356209
Stethojulis,MINDA193-23,Stethojulis trilineata,MINDA011-23,Stethojulis strigiventer,17.908953
Stethojulis,MINDA193-23,Stethojulis trilineata,MINDA013-23,Stethojulis bandanensis,15.429713
Stethojulis,MINDA194-23,Stethojulis trilineata,MINDA011-23,Stethojulis strigiventer,17.908953
Stethojulis,MINDA194-23,Stethojulis trilineata,MINDA013-23,Stethojulis bandanensis,15.429713
Stethojulis,MINDA301-23,Stethojulis trilineata,MINDA011-23,Stethojulis strigiventer,17.908953
Stethojulis,MINDA301-23,Stethojulis trilineata,MINDA013-23,Stethojulis bandanensis,15.429713
Halichoeres,MINDA177-23,Halichoeres hortulanus,MINDA006-23,Halichoeres hartzfeldii,17.718897
Halichoeres,MINDA195-23,Halichoeres scapularis,MINDA006-23,Halichoeres hartzfeldii,19.047348
Halichoeres,MINDA195-23,Halichoeres scapularis,MINDA177-23,Halichoeres hortulanus,16.486189
Halichoeres,MINDA197-23,Halichoeres chloropterus,MINDA006-23,Halichoeres hartzfeldii,18.495565
Halichoeres,MINDA197-23,Halichoeres chloropterus,MINDA177-23,Halichoeres hortulanus,19.196457
Halichoeres,MINDA197-23,Halichoeres chloropterus,MINDA195-23,Halichoeres scapularis,18.530066
Halichoeres,MINDA238-23,Halichoeres chloropterus,MINDA006-23,Halichoeres hartzfeldii,18.495565
Halichoeres,MINDA238-23,Halichoeres chloropterus,MINDA177-23,Halichoeres hortulanus,19.196457
Halichoeres,MINDA238-23,Halichoeres chloropterus,MINDA195-23,Halichoeres scapularis,18.530066
Halichoeres,MINDA273-23,Halichoeres melanurus,MINDA006-23,Halichoeres hartzfeldii,19.265224
Halichoeres,MINDA273-23,Halichoeres melanurus,MINDA177-23,Halichoeres hortulanus,17.648026
Halichoeres,MINDA273-23,Halichoeres melanurus,MINDA195-23,Halichoeres scapularis,20.037098
Halichoeres,MINDA273-23,Halichoeres melanurus,MINDA197-23,Halichoeres chloropterus,17.742334
Halichoeres,MINDA273-23,Halichoeres melanurus,MINDA238-23,Halichoeres chloropterus,17.742334
Halichoeres,MINDA302-23,Halichoeres scapularis,MINDA006-23,Halichoeres hartzfeldii,19.255682
Halichoeres,MINDA302-23,Halichoeres scapularis,MINDA177-23,Halichoeres hortulanus,16.689026
Halichoeres,MINDA302-23,Halichoeres scapularis,MINDA197-23,Halichoeres chloropterus,18.733315
Halichoeres,MINDA302-23,Halichoeres scapularis,MINDA238-23,Halichoeres chloropterus,18.733315
Halichoeres,MINDA302-23,Halichoeres scapularis,MINDA273-23,Halichoeres melanurus,19.827457
Halichoeres,MINDA304-23,Halichoeres marginatus,MINDA006-23,Halichoeres hartzfeldii,18.190865
Halichoeres,MINDA304-23,Halichoeres marginatus,MINDA177-23,Halichoeres hortulanus,18.543463
Halichoeres,MINDA304-23,Halichoeres marginatus,MINDA195-23,Halichoeres scapularis,21.025387
Halichoeres,MINDA304-23,Halichoeres marginatus,MINDA197-23,Halichoeres chloropterus,19.142313
Halichoeres,MINDA304-23,Halichoeres marginatus,MINDA238-23,Halichoeres chloropterus,19.142313
Halichoeres,MINDA304-23,Halichoeres marginatus,MINDA273-23,Halichoeres melanurus,11.169483
Halichoeres,MINDA304-23,Halichoeres marginatus,MINDA302-23,Halichoeres scapularis,20.812622
Heniochus,MINDA051-23,Heniochus chrysostomus,MINDA017-23,Heniochus acuminatus,12.719494
Heniochus,MINDA073-23,Heniochus varius,MINDA017-23,Heniochus acuminatus,12.513307
Heniochus,MINDA073-23,Heniochus varius,MINDA051-23,Heniochus chrysostomus,13.387266
Heniochus,MINDA220-23,Heniochus varius,MINDA017-23,Heniochus acuminatus,12.30797
Heniochus,MINDA220-23,Heniochus varius,MINDA051-23,Heniochus chrysostomus,13.193469
Heniochus,MINDA228-23,Heniochus varius,MINDA017-23,Heniochus acuminatus,12.103471
Heniochus,MINDA228-23,Heniochus varius,MINDA051-23,Heniochus chrysostomus,13.000417
Heniochus,MINDA308-23,Heniochus varius,MINDA017-23,Heniochus acuminatus,12.719494
Heniochus,MINDA308-23,Heniochus varius,MINDA051-23,Heniochus chrysostomus,13.58182
Heniochus,MINDA311-23,Heniochus chrysostomus,MINDA017-23,Heniochus acuminatus,12.532682
Heniochus,MINDA311-23,Heniochus chrysostomus,MINDA073-23,Heniochus varius,13.356293
Heniochus,MINDA311-23,Heniochus chrysostomus,MINDA220-23,Heniochus varius,13.165447
Heniochus,MINDA311-23,Heniochus chrysostomus,MINDA228-23,Heniochus varius,12.975335
Heniochus,MINDA311-23,Heniochus chrysostomus,MINDA308-23,Heniochus varius,13.547861
Heniochus,MINDA478-23,Heniochus chrysostomus,MINDA017-23,Heniochus acuminatus,12.385014
Heniochus,MINDA478-23,Heniochus chrysostomus,MINDA073-23,Heniochus varius,13.266601
Heniochus,MINDA478-23,Heniochus chrysostomus,MINDA220-23,Heniochus varius,13.059134
Heniochus,MINDA478-23,Heniochus chrysostomus,MINDA228-23,Heniochus varius,12.852526
Heniochus,MINDA478-23,Heniochus chrysostomus,MINDA308-23,Heniochus varius,13.4749365
Gerres,MINDA353-23,Gerres erythrourus,MINDA352-23,Gerres filamentosus,23.463675
Gerres,MINDA358-23,Gerres oyena,MINDA352-23,Gerres filamentosus,20.291965
Gerres,MINDA358-23,Gerres oyena,MINDA353-23,Gerres erythrourus,18.901592
Gerres,MINDA359-23,Gerres oyena,MINDA352-23,Gerres filamentosus,20.116104
Gerres,MINDA359-23,Gerres oyena,MINDA353-23,Gerres erythrourus,19.122644
Gerres,MINDA360-23,Gerres oyena,MINDA352-23,Gerres filamentosus,20.291965
Gerres,MINDA360-23,Gerres oyena,MINDA353-23,Gerres erythrourus,18.686539
Gerres,MINDA458-23,Gerres filamentosus,MINDA353-23,Gerres erythrourus,22.62182
Gerres,MINDA458-23,Gerres filamentosus,MINDA358-23,Gerres oyena,18.77089
Gerres,MINDA458-23,Gerres filamentosus,MINDA359-23,Gerres oyena,19.607212
Gerres,MINDA458-23,Gerres filamentosus,MINDA360-23,Gerres oyena,18.77089
Bodianus,MINDA287-23,Bodianus mesothorax,MINDA059-23,Bodianus dictynna,13.173196
Pristipomoides,MINDA136-23,Pristipomoides filamentosus,MINDA130-23,Pristipomoides auricilla,12.552706
Pristipomoides,MINDA297-23,Pristipomoides multidens,MINDA130-23,Pristipomoides auricilla,12.962924
Pristipomoides,MINDA297-23,Pristipomoides multidens,MINDA136-23,Pristipomoides filamentosus,9.086165
Pristipomoides,MINDA348-23,Pristipomoides auricilla,MINDA136-23,Pristipomoides filamentosus,13.60427
Pristipomoides,MINDA348-23,Pristipomoides auricilla,MINDA297-23,Pristipomoides multidens,14.263621
Pristipomoides,MINDA397-23,Pristipomoides amoenus,MINDA130-23,Pristipomoides auricilla,9.787931
Pristipomoides,MINDA397-23,Pristipomoides amoenus,MINDA136-23,Pristipomoides filamentosus,12.040386
Pristipomoides,MINDA397-23,Pristipomoides amoenus,MINDA297-23,Pristipomoides multidens,13.729397
Pristipomoides,MINDA397-23,Pristipomoides amoenus,MINDA348-23,Pristipomoides auricilla,11.184602
Pristipomoides,MINDA400-23,Pristipomoides typus,MINDA130-23,Pristipomoides auricilla,14.092917
Pristipomoides,MINDA400-23,Pristipomoides typus,MINDA136-23,Pristipomoides filamentosus,9.988931
Pristipomoides,MINDA400-23,Pristipomoides typus,MINDA297-23,Pristipomoides multidens,5.7722797
Pristipomoides,MINDA400-23,Pristipomoides typus,MINDA348-23,Pristipomoides auricilla,14.9317875
Pristipomoides,MINDA400-23,Pristipomoides typus,MINDA397-23,Pristipomoides amoenus,12.080252
Cheilinus,MINDA159-23,Cheilinus chlorourus,MINDA064-23,Cheilinus undulatus,19.812208
Cheilinus,MINDA239-23,Cheilinus fasciatus,MINDA064-23,Cheilinus undulatus,16.622498
Cheilinus,MINDA239-23,Cheilinus fasciatus,MINDA159-23,Cheilinus chlorourus,17.290173
Cheilinus,MINDA329-23,Cheilinus trilobatus,MINDA064-23,Cheilinus undulatus,20.097805
Cheilinus,MINDA329-23,Cheilinus trilobatus,MINDA159-23,Cheilinus chlorourus,10.30875
Cheilinus,MINDA329-23,Cheilinus trilobatus,MINDA239-23,Cheilinus fasciatus,16.196829
Cheilinus,MINDA407-23,Cheilinus trilobatus,MINDA064-23,Cheilinus undulatus,20.547672
Cheilinus,MINDA407-23,Cheilinus trilobatus,MINDA159-23,Cheilinus chlorourus,9.611567
Cheilinus,MINDA407-23,Cheilinus trilobatus,MINDA239-23,Cheilinus fasciatus,16.9981
Cheilinus,MINDA443-23,Cheilinus trilobatus,MINDA064-23,Cheilinus undulatus,20.036783
Cheilinus,MINDA443-23,Cheilinus trilobatus,MINDA159-23,Cheilinus chlorourus,9.789237
Cheilinus,MINDA443-23,Cheilinus trilobatus,MINDA239-23,Cheilinus fasciatus,16.363247
Gymnocranius,MINDA339-23,Gymnocranius griseus,MINDA105-23,Gymnocranius elongatus,10.859402
Epinephelus,MINDA038-23,Epinephelus hexagonatus,MINDA034-23,Epinephelus corallicola,14.0977745
Epinephelus,MINDA045-23,Epinephelus lanceolatus,MINDA034-23,Epinephelus corallicola,14.634469
Epinephelus,MINDA045-23,Epinephelus lanceolatus,MINDA038-23,Epinephelus hexagonatus,14.379268
Epinephelus,MINDA063-23,Epinephelus coeruleopunctatus,MINDA034-23,Epinephelus corallicola,6.014635
Epinephelus,MINDA063-23,Epinephelus coeruleopunctatus,MINDA038-23,Epinephelus hexagonatus,13.729584
Epinephelus,MINDA063-23,Epinephelus coeruleopunctatus,MINDA045-23,Epinephelus lanceolatus,15.0520115
Epinephelus,MINDA100-23,Epinephelus bontoides,MINDA034-23,Epinephelus corallicola,16.263462
Epinephelus,MINDA100-23,Epinephelus bontoides,MINDA038-23,Epinephelus hexagonatus,15.324913
Epinephelus,MINDA100-23,Epinephelus bontoides,MINDA045-23,Epinephelus lanceolatus,18.393358
Epinephelus,MINDA100-23,Epinephelus bontoides,MINDA063-23,Epinephelus coeruleopunctatus,15.523723
Epinephelus,MINDA102-23,Epinephelus polyphekadion,MINDA034-23,Epinephelus corallicola,12.049987
Epinephelus,MINDA102-23,Epinephelus polyphekadion,MINDA038-23,Epinephelus hexagonatus,14.983121
Epinephelus,MINDA102-23,Epinephelus polyphekadion,MINDA045-23,Epinephelus lanceolatus,16.143002
Epinephelus,MINDA102-23,Epinephelus polyphekadion,MINDA063-23,Epinephelus coeruleopunctatus,12.514822
Epinephelus,MINDA102-23,Epinephelus polyphekadion,MINDA100-23,Epinephelus bontoides,17.730747
Epinephelus,MINDA154-23,Epinephelus maculatus,MINDA034-23,Epinephelus corallicola,15.3053
Epinephelus,MINDA154-23,Epinephelus maculatus,MINDA038-23,Epinephelus hexagonatus,14.771424
Epinephelus,MINDA154-23,Epinephelus maculatus,MINDA045-23,Epinephelus lanceolatus,17.508718
Epinephelus,MINDA154-23,Epinephelus maculatus,MINDA063-23,Epinephelus coeruleopunctatus,13.762288
Epinephelus,MINDA154-23,Epinephelus maculatus,MINDA100-23,Epinephelus bontoides,14.199598
Epinephelus,MINDA154-23,Epinephelus maculatus,MINDA102-23,Epinephelus polyphekadion,17.050495
Epinephelus,MINDA208-23,Epinephelus ongus,MINDA034-23,Epinephelus corallicola,9.418213
Epinephelus,MINDA208-23,Epinephelus ongus,MINDA038-23,Epinephelus hexagonatus,13.508162
Epinephelus,MINDA208-23,Epinephelus ongus,MINDA045-23,Epinephelus lanceolatus,14.417732
Epinephelus,MINDA208-23,Epinephelus ongus,MINDA063-23,Epinephelus coeruleopunctatus,9.634001
Epinephelus,MINDA208-23,Epinephelus ongus,MINDA100-23,Epinephelus bontoides,17.192917
Epinephelus,MINDA208-23,Epinephelus ongus,MINDA102-23,Epinephelus polyphekadion,13.102497
Epinephelus,MINDA208-23,Epinephelus ongus,MINDA154-23,Epinephelus maculatus,15.798409
Epinephelus,MINDA322-23,Epinephelus fasciatus,MINDA034-23,Epinephelus corallicola,14.892427
Epinephelus,MINDA322-23,Epinephelus fasciatus,MINDA038-23,Epinephelus hexagonatus,12.074588
Epinephelus,MINDA322-23,Epinephelus fasciatus,MINDA045-23,Epinephelus lanceolatus,16.103718
Epinephelus,MINDA322-23,Epinephelus fasciatus,MINDA063-23,Epinephelus coeruleopunctatus,16.349028
Epinephelus,MINDA322-23,Epinephelus fasciatus,MINDA100-23,Epinephelus bontoides,14.180753
Epinephelus,MINDA322-23,Epinephelus fasciatus,MINDA102-23,Epinephelus polyphekadion,17.921171
Epinephelus,MINDA322-23,Epinephelus fasciatus,MINDA154-23,Epinephelus maculatus,14.180753
Epinephelus,MINDA322-23,Epinephelus fasciatus,MINDA208-23,Epinephelus ongus,16.212875
Epinephelus,MINDA349-23,Epinephelus areolatus,MINDA034-23,Epinephelus corallicola,16.145027
Epinephelus,MINDA349-23,Epinephelus areolatus,MINDA038-23,Epinephelus hexagonatus,14.7309065
Epinephelus,MINDA349-23,Epinephelus areolatus,MINDA045-23,Epinephelus lanceolatus,19.831608
Epinephelus,MINDA349-23,Epinephelus areolatus,MINDA063-23,Epinephelus coeruleopunctatus,17.847837
Epinephelus,MINDA349-23,Epinephelus areolatus,MINDA100-23,Epinephelus bontoides,15.156345
Epinephelus,MINDA349-23,Epinephelus areolatus,MINDA102-23,Epinephelus polyphekadion,19.938892
Epinephelus,MINDA349-23,Epinephelus areolatus,MINDA154-23,Epinephelus maculatus,15.055829
Epinephelus,MINDA349-23,Epinephelus areolatus,MINDA208-23,Epinephelus ongus,17.007559
Epinephelus,MINDA349-23,Epinephelus areolatus,MINDA322-23,Epinephelus fasciatus,14.966851
Epinephelus,MINDA414-23,Epinephelus sexfasciatus,MINDA034-23,Epinephelus corallicola,14.051135
Epinephelus,MINDA414-23,Epinephelus sexfasciatus,MINDA038-23,Epinephelus hexagonatus,13.395418
Epinephelus,MINDA414-23,Epinephelus sexfasciatus,MINDA045-23,Epinephelus lanceolatus,17.532387
Epinephelus,MINDA414-23,Epinephelus sexfasciatus,MINDA063-23,Epinephelus coeruleopunctatus,15.001759
Epinephelus,MINDA414-23,Epinephelus sexfasciatus,MINDA100-23,Epinephelus bontoides,16.50776
Epinephelus,MINDA414-23,Epinephelus sexfasciatus,MINDA102-23,Epinephelus polyphekadion,18.629765
Epinephelus,MINDA414-23,Epinephelus sexfasciatus,MINDA154-23,Epinephelus maculatus,17.167044
Epinephelus,MINDA414-23,Epinephelus sexfasciatus,MINDA208-23,Epinephelus ongus,15.752866
Epinephelus,MINDA414-23,Epinephelus sexfasciatus,MINDA322-23,Epinephelus fasciatus,16.004507
Epinephelus,MINDA414-23,Epinephelus sexfasciatus,MINDA349-23,Epinephelus areolatus,15.603657
Epinephelus,MINDA417-23,Epinephelus coioides,MINDA034-23,Epinephelus corallicola,12.873205
Epinephelus,MINDA417-23,Epinephelus coioides,MINDA038-23,Epinephelus hexagonatus,13.713895
Epinephelus,MINDA417-23,Epinephelus coioides,MINDA045-23,Epinephelus lanceolatus,13.1542635
Epinephelus,MINDA417-23,Epinephelus coioides,MINDA063-23,Epinephelus coeruleopunctatus,12.166155
Epinephelus,MINDA417-23,Epinephelus coioides,MINDA100-23,Epinephelus bontoides,17.167044
Epinephelus,MINDA417-23,Epinephelus coioides,MINDA102-23,Epinephelus polyphekadion,13.455711
Epinephelus,MINDA417-23,Epinephelus coioides,MINDA154-23,Epinephelus maculatus,14.839946
Epinephelus,MINDA417-23,Epinephelus coioides,MINDA208-23,Epinephelus ongus,11.946683
Epinephelus,MINDA417-23,Epinephelus coioides,MINDA322-23,Epinephelus fasciatus,14.467883
Epinephelus,MINDA417-23,Epinephelus coioides,MINDA349-23,Epinephelus areolatus,17.78664
Epinephelus,MINDA417-23,Epinephelus coioides,MINDA414-23,Epinephelus sexfasciatus,15.968035
Epinephelus,MINDA440-23,Epinephelus quoyanus,MINDA034-23,Epinephelus corallicola,16.776335
Epinephelus,MINDA440-23,Epinephelus quoyanus,MINDA038-23,Epinephelus hexagonatus,15.185518
Epinephelus,MINDA440-23,Epinephelus quoyanus,MINDA045-23,Epinephelus lanceolatus,17.164417
Epinephelus,MINDA440-23,Epinephelus quoyanus,MINDA063-23,Epinephelus coeruleopunctatus,15.384325
Epinephelus,MINDA440-23,Epinephelus quoyanus,MINDA100-23,Epinephelus bontoides,9.107293
Epinephelus,MINDA440-23,Epinephelus quoyanus,MINDA102-23,Epinephelus polyphekadion,16.411882
Epinephelus,MINDA440-23,Epinephelus quoyanus,MINDA154-23,Epinephelus maculatus,16.072426
Epinephelus,MINDA440-23,Epinephelus quoyanus,MINDA208-23,Epinephelus ongus,16.55091
Epinephelus,MINDA440-23,Epinephelus quoyanus,MINDA322-23,Epinephelus fasciatus,15.204952
Epinephelus,MINDA440-23,Epinephelus quoyanus,MINDA349-23,Epinephelus areolatus,16.609562
Epinephelus,MINDA440-23,Epinephelus quoyanus,MINDA414-23,Epinephelus sexfasciatus,16.981256
Epinephelus,MINDA440-23,Epinephelus quoyanus,MINDA417-23,Epinephelus coioides,15.525983
Epinephelus,MINDA482-23,Epinephelus areolatus,MINDA034-23,Epinephelus corallicola,15.6589985
Epinephelus,MINDA482-23,Epinephelus areolatus,MINDA038-23,Epinephelus hexagonatus,14.292039
Epinephelus,MINDA482-23,Epinephelus areolatus,MINDA045-23,Epinephelus lanceolatus,19.850302
Epinephelus,MINDA482-23,Epinephelus areolatus,MINDA063-23,Epinephelus coeruleopunctatus,17.091694
Epinephelus,MINDA482-23,Epinephelus areolatus,MINDA100-23,Epinephelus bontoides,14.832587
Epinephelus,MINDA482-23,Epinephelus areolatus,MINDA102-23,Epinephelus polyphekadion,19.391003
Epinephelus,MINDA482-23,Epinephelus areolatus,MINDA154-23,Epinephelus maculatus,14.156868
Epinephelus,MINDA482-23,Epinephelus areolatus,MINDA208-23,Epinephelus ongus,16.673283
Epinephelus,MINDA482-23,Epinephelus areolatus,MINDA322-23,Epinephelus fasciatus,14.077541
Epinephelus,MINDA482-23,Epinephelus areolatus,MINDA414-23,Epinephelus sexfasciatus,15.115923
Epinephelus,MINDA482-23,Epinephelus areolatus,MINDA417-23,Epinephelus coioides,17.209349
Epinephelus,MINDA482-23,Epinephelus areolatus,MINDA440-23,Epinephelus quoyanus,16.313686
Epinephelus,MINDA494-23,Epinephelus areolatus,MINDA034-23,Epinephelus corallicola,15.031111
Epinephelus,MINDA494-23,Epinephelus areolatus,MINDA038-23,Epinephelus hexagonatus,13.915619
Epinephelus,MINDA494-23,Epinephelus areolatus,MINDA045-23,Epinephelus lanceolatus,19.02236
Epinephelus,MINDA494-23,Epinephelus areolatus,MINDA063-23,Epinephelus coeruleopunctatus,16.397005
Epinephelus,MINDA494-23,Epinephelus areolatus,MINDA100-23,Epinephelus bontoides,14.24403
Epinephelus,MINDA494-23,Epinephelus areolatus,MINDA102-23,Epinephelus polyphekadion,19.369823
Epinephelus,MINDA494-23,Epinephelus areolatus,MINDA154-23,Epinephelus maculatus,13.591467
Epinephelus,MINDA494-23,Epinephelus areolatus,MINDA208-23,Epinephelus ongus,15.998597
Epinephelus,MINDA494-23,Epinephelus areolatus,MINDA322-23,Epinephelus fasciatus,14.0932
Epinephelus,MINDA494-23,Epinephelus areolatus,MINDA414-23,Epinephelus sexfasciatus,14.899089
Epinephelus,MINDA494-23,Epinephelus areolatus,MINDA417-23,Epinephelus coioides,16.51458
Epinephelus,MINDA494-23,Epinephelus areolatus,MINDA440-23,Epinephelus quoyanus,15.652779
Chromis,MINDA460-23,Chromis ternatensis,MINDA380-23,Chromis xanthura,16.13186
Pomadasys,MINDA411-23,Pomadasys maculatus,MINDA060-23,Pomadasys argenteus,15.001759
Anampses,MINDA009-23,Anampses meleagrides,MINDA003-23,Anampses caeruleopunctatus,14.853205
Anampses,MINDA012-23,Anampses geographicus,MINDA003-23,Anampses caeruleopunctatus,16.32695
Anampses,MINDA012-23,Anampses geographicus,MINDA009-23,Anampses meleagrides,17.715755
Variola,MINDA202-23,Variola albimarginata,MINDA101-23,Variola louti,7.946542
Variola,MINDA203-23,Variola albimarginata,MINDA101-23,Variola louti,8.118955
Variola,MINDA323-23,Variola albimarginata,MINDA101-23,Variola louti,8.401487
Diagramma,MINDA081-23,Diagramma melanacrum,MINDA022-23,Diagramma pictum,0.49342594
Diagramma,MINDA082-23,Diagramma pictum,MINDA081-23,Diagramma melanacrum,0.29717907
Pterocaesio,MINDA246-23,Pterocaesio tessellata,MINDA231-23,Pterocaesio pisang,3.6776583
Pterocaesio,MINDA246-23,Pterocaesio tessellata,MINDA232-23,Pterocaesio pisang,3.6776583
Pterocaesio,MINDA247-23,Pterocaesio tessellata,MINDA231-23,Pterocaesio pisang,3.6776583
Pterocaesio,MINDA247-23,Pterocaesio tessellata,MINDA232-23,Pterocaesio pisang,3.6776583
Pterocaesio,MINDA248-23,Pterocaesio tessellata,MINDA231-23,Pterocaesio pisang,3.8368952
Pterocaesio,MINDA248-23,Pterocaesio tessellata,MINDA232-23,Pterocaesio pisang,3.8368952
Siganus,MINDA019-23,Siganus javus,MINDA018-23,Siganus vermiculatus,8.786235
