"","taxa","species_1","process_id_1","species_2","process_id_2","distance","level"
"41","Centropyge","Centropyge vrolikii","MINDA382-23","Centropyge bicolor","MINDA052-23",13.7622892271161,"genus"
"42","Cephalopholis","Cephalopholis aitha","MINDA035-23","Cephalopholis miniata","MINDA026-23",20.5910546483777,"genus"
"43","Cephalopholis","Cephalopholis cyanostigma","MINDA099-23","Cephalopholis miniata","MINDA026-23",18.8498110004591,"genus"
"44","Cephalopholis","Cephalopholis cyanostigma","MINDA099-23","Cephalopholis aitha","MINDA035-23",16.4242370347193,"genus"
"45","Cephalopholis","Cephalopholis aitha","MINDA115-23","Cephalopholis miniata","MINDA026-23",20.8098733783676,"genus"
"46","Cephalopholis","Cephalopholis aitha","MINDA115-23","Cephalopholis cyanostigma","MINDA099-23",16.7697654768191,"genus"
"47","Cephalopholis","Cephalopholis polleni","MINDA127-23","Cephalopholis miniata","MINDA026-23",17.8892458684152,"genus"
"48","Cephalopholis","Cephalopholis polleni","MINDA127-23","Cephalopholis aitha","MINDA035-23",16.6770652879156,"genus"
"49","Cephalopholis","Cephalopholis polleni","MINDA127-23","Cephalopholis cyanostigma","MINDA099-23",15.5314438125666,"genus"
"50","Cephalopholis","Cephalopholis polleni","MINDA127-23","Cephalopholis aitha","MINDA115-23",16.2280971650591,"genus"
"51","Cephalopholis","Cephalopholis microprion","MINDA207-23","Cephalopholis miniata","MINDA026-23",18.8498110004591,"genus"
"52","Cephalopholis","Cephalopholis microprion","MINDA207-23","Cephalopholis aitha","MINDA035-23",15.590001022632,"genus"
"53","Cephalopholis","Cephalopholis microprion","MINDA207-23","Cephalopholis cyanostigma","MINDA099-23",6.12114348537522,"genus"
"54","Cephalopholis","Cephalopholis microprion","MINDA207-23","Cephalopholis aitha","MINDA115-23",15.5484972992714,"genus"
"55","Cephalopholis","Cephalopholis microprion","MINDA207-23","Cephalopholis polleni","MINDA127-23",15.692474965138,"genus"
"56","Cephalopholis","Cephalopholis aitha","MINDA255-23","Cephalopholis miniata","MINDA026-23",20.6195687948405,"genus"
"57","Cephalopholis","Cephalopholis aitha","MINDA255-23","Cephalopholis cyanostigma","MINDA099-23",16.5502797946298,"genus"
"58","Cephalopholis","Cephalopholis aitha","MINDA255-23","Cephalopholis polleni","MINDA127-23",16.6036270086237,"genus"
"59","Cephalopholis","Cephalopholis aitha","MINDA255-23","Cephalopholis microprion","MINDA207-23",14.9845941413223,"genus"
"60","Cephalopholis","Cephalopholis sexmaculata","MINDA256-23","Cephalopholis miniata","MINDA026-23",3.74006065413492,"genus"
"61","Cephalopholis","Cephalopholis sexmaculata","MINDA256-23","Cephalopholis aitha","MINDA035-23",19.2978791188817,"genus"
"62","Cephalopholis","Cephalopholis sexmaculata","MINDA256-23","Cephalopholis cyanostigma","MINDA099-23",17.7357247474143,"genus"
"63","Cephalopholis","Cephalopholis sexmaculata","MINDA256-23","Cephalopholis aitha","MINDA115-23",18.7864247943287,"genus"
"64","Cephalopholis","Cephalopholis sexmaculata","MINDA256-23","Cephalopholis polleni","MINDA127-23",16.4237921311159,"genus"
"65","Cephalopholis","Cephalopholis sexmaculata","MINDA256-23","Cephalopholis microprion","MINDA207-23",17.129656720797,"genus"
"66","Cephalopholis","Cephalopholis sexmaculata","MINDA256-23","Cephalopholis aitha","MINDA255-23",19.0196337733559,"genus"
"67","Cephalopholis","Cephalopholis sexmaculata","MINDA257-23","Cephalopholis miniata","MINDA026-23",4.06473711966233,"genus"
"68","Cephalopholis","Cephalopholis sexmaculata","MINDA257-23","Cephalopholis aitha","MINDA035-23",18.8741477693331,"genus"
"69","Cephalopholis","Cephalopholis sexmaculata","MINDA257-23","Cephalopholis cyanostigma","MINDA099-23",17.7357247474143,"genus"
"70","Cephalopholis","Cephalopholis sexmaculata","MINDA257-23","Cephalopholis aitha","MINDA115-23",18.7864247943287,"genus"
"71","Cephalopholis","Cephalopholis sexmaculata","MINDA257-23","Cephalopholis polleni","MINDA127-23",16.8174949526612,"genus"
"72","Cephalopholis","Cephalopholis sexmaculata","MINDA257-23","Cephalopholis microprion","MINDA207-23",17.129656720797,"genus"
"73","Cephalopholis","Cephalopholis sexmaculata","MINDA257-23","Cephalopholis aitha","MINDA255-23",18.6029646953987,"genus"
"74","Cephalopholis","Cephalopholis leopardus","MINDA321-23","Cephalopholis miniata","MINDA026-23",11.4510092028529,"genus"
"75","Cephalopholis","Cephalopholis leopardus","MINDA321-23","Cephalopholis aitha","MINDA035-23",16.378834585022,"genus"
"76","Cephalopholis","Cephalopholis leopardus","MINDA321-23","Cephalopholis cyanostigma","MINDA099-23",16.1224740230873,"genus"
"77","Cephalopholis","Cephalopholis leopardus","MINDA321-23","Cephalopholis aitha","MINDA115-23",16.378834585022,"genus"
"78","Cephalopholis","Cephalopholis leopardus","MINDA321-23","Cephalopholis polleni","MINDA127-23",16.4840855712772,"genus"
"79","Cephalopholis","Cephalopholis leopardus","MINDA321-23","Cephalopholis microprion","MINDA207-23",17.2774611798312,"genus"
"80","Cephalopholis","Cephalopholis leopardus","MINDA321-23","Cephalopholis aitha","MINDA255-23",16.6141291368926,"genus"
"81","Cephalopholis","Cephalopholis leopardus","MINDA321-23","Cephalopholis sexmaculata","MINDA256-23",11.8886487583326,"genus"
"82","Cephalopholis","Cephalopholis leopardus","MINDA321-23","Cephalopholis sexmaculata","MINDA257-23",12.3301527307462,"genus"
"83","Cephalopholis","Cephalopholis boenak","MINDA392-23","Cephalopholis miniata","MINDA026-23",18.4660393632514,"genus"
"84","Cephalopholis","Cephalopholis boenak","MINDA392-23","Cephalopholis aitha","MINDA035-23",16.7120484537991,"genus"
"85","Cephalopholis","Cephalopholis boenak","MINDA392-23","Cephalopholis cyanostigma","MINDA099-23",9.25164520127958,"genus"
"86","Cephalopholis","Cephalopholis boenak","MINDA392-23","Cephalopholis aitha","MINDA115-23",16.5120481871318,"genus"
"87","Cephalopholis","Cephalopholis boenak","MINDA392-23","Cephalopholis polleni","MINDA127-23",17.428160105517,"genus"
"88","Cephalopholis","Cephalopholis boenak","MINDA392-23","Cephalopholis microprion","MINDA207-23",9.09732372360256,"genus"
"89","Cephalopholis","Cephalopholis boenak","MINDA392-23","Cephalopholis aitha","MINDA255-23",16.3302453767588,"genus"
"90","Cephalopholis","Cephalopholis boenak","MINDA392-23","Cephalopholis sexmaculata","MINDA256-23",17.8512775203995,"genus"
"91","Cephalopholis","Cephalopholis boenak","MINDA392-23","Cephalopholis sexmaculata","MINDA257-23",18.6726512274969,"genus"
"92","Cephalopholis","Cephalopholis boenak","MINDA392-23","Cephalopholis leopardus","MINDA321-23",18.0497233553147,"genus"
"93","Cephalopholis","Cephalopholis sonnerati","MINDA403-23","Cephalopholis miniata","MINDA026-23",8.08478396596646,"genus"
"94","Cephalopholis","Cephalopholis sonnerati","MINDA403-23","Cephalopholis aitha","MINDA035-23",18.0373081515569,"genus"
"95","Cephalopholis","Cephalopholis sonnerati","MINDA403-23","Cephalopholis cyanostigma","MINDA099-23",15.9391242861111,"genus"
"96","Cephalopholis","Cephalopholis sonnerati","MINDA403-23","Cephalopholis aitha","MINDA115-23",17.5543295974822,"genus"
"97","Cephalopholis","Cephalopholis sonnerati","MINDA403-23","Cephalopholis polleni","MINDA127-23",15.3214126541286,"genus"
"98","Cephalopholis","Cephalopholis sonnerati","MINDA403-23","Cephalopholis microprion","MINDA207-23",15.5484972992714,"genus"
"99","Cephalopholis","Cephalopholis sonnerati","MINDA403-23","Cephalopholis aitha","MINDA255-23",17.7799008426951,"genus"
"100","Cephalopholis","Cephalopholis sonnerati","MINDA403-23","Cephalopholis sexmaculata","MINDA256-23",7.79616282495358,"genus"
"101","Cephalopholis","Cephalopholis sonnerati","MINDA403-23","Cephalopholis sexmaculata","MINDA257-23",8.14158734214416,"genus"
"102","Cephalopholis","Cephalopholis sonnerati","MINDA403-23","Cephalopholis leopardus","MINDA321-23",11.2524285284549,"genus"
"103","Cephalopholis","Cephalopholis sonnerati","MINDA403-23","Cephalopholis boenak","MINDA392-23",16.4455624463575,"genus"
"104","Cephalopholis","Cephalopholis boenak","MINDA410-23","Cephalopholis miniata","MINDA026-23",18.6726512274969,"genus"
"105","Cephalopholis","Cephalopholis boenak","MINDA410-23","Cephalopholis aitha","MINDA035-23",16.9128519365436,"genus"
"106","Cephalopholis","Cephalopholis boenak","MINDA410-23","Cephalopholis cyanostigma","MINDA099-23",9.64628436723639,"genus"
"107","Cephalopholis","Cephalopholis boenak","MINDA410-23","Cephalopholis aitha","MINDA115-23",16.4576538388809,"genus"
"108","Cephalopholis","Cephalopholis boenak","MINDA410-23","Cephalopholis polleni","MINDA127-23",17.3607235339653,"genus"
"109","Cephalopholis","Cephalopholis boenak","MINDA410-23","Cephalopholis microprion","MINDA207-23",9.14134174656051,"genus"
"110","Cephalopholis","Cephalopholis boenak","MINDA410-23","Cephalopholis aitha","MINDA255-23",16.2784191707987,"genus"
"111","Cephalopholis","Cephalopholis boenak","MINDA410-23","Cephalopholis sexmaculata","MINDA256-23",17.7779912714597,"genus"
"112","Cephalopholis","Cephalopholis boenak","MINDA410-23","Cephalopholis sexmaculata","MINDA257-23",18.5877255674587,"genus"
"113","Cephalopholis","Cephalopholis boenak","MINDA410-23","Cephalopholis leopardus","MINDA321-23",18.2883872929476,"genus"
"114","Cephalopholis","Cephalopholis boenak","MINDA410-23","Cephalopholis sonnerati","MINDA403-23",16.3917638707169,"genus"
"115","Cephalopholis","Cephalopholis cyanostigma","MINDA419-23","Cephalopholis miniata","MINDA026-23",19.1874291464628,"genus"
"116","Cephalopholis","Cephalopholis cyanostigma","MINDA419-23","Cephalopholis aitha","MINDA035-23",16.2880662639453,"genus"
"117","Cephalopholis","Cephalopholis cyanostigma","MINDA419-23","Cephalopholis aitha","MINDA115-23",16.2880662639453,"genus"
"118","Cephalopholis","Cephalopholis cyanostigma","MINDA419-23","Cephalopholis polleni","MINDA127-23",15.2421312852737,"genus"
"119","Cephalopholis","Cephalopholis cyanostigma","MINDA419-23","Cephalopholis microprion","MINDA207-23",5.73894652344724,"genus"
"120","Cephalopholis","Cephalopholis cyanostigma","MINDA419-23","Cephalopholis aitha","MINDA255-23",15.9059937451954,"genus"
"121","Cephalopholis","Cephalopholis cyanostigma","MINDA419-23","Cephalopholis sexmaculata","MINDA256-23",17.7167348861481,"genus"
"122","Cephalopholis","Cephalopholis cyanostigma","MINDA419-23","Cephalopholis sexmaculata","MINDA257-23",17.9242040634887,"genus"
"123","Cephalopholis","Cephalopholis cyanostigma","MINDA419-23","Cephalopholis leopardus","MINDA321-23",16.5908615232673,"genus"
"124","Cephalopholis","Cephalopholis cyanostigma","MINDA419-23","Cephalopholis boenak","MINDA392-23",8.59716243388623,"genus"
"125","Cephalopholis","Cephalopholis cyanostigma","MINDA419-23","Cephalopholis sonnerati","MINDA403-23",15.8872625145335,"genus"
"126","Cephalopholis","Cephalopholis cyanostigma","MINDA419-23","Cephalopholis boenak","MINDA410-23",8.77415376914242,"genus"
"127","Cephalopholis","Cephalopholis leopardus","MINDA437-23","Cephalopholis miniata","MINDA026-23",11.1820458639251,"genus"
"128","Cephalopholis","Cephalopholis leopardus","MINDA437-23","Cephalopholis aitha","MINDA035-23",15.3275709830568,"genus"
"129","Cephalopholis","Cephalopholis leopardus","MINDA437-23","Cephalopholis cyanostigma","MINDA099-23",16.1063948150723,"genus"
"130","Cephalopholis","Cephalopholis leopardus","MINDA437-23","Cephalopholis aitha","MINDA115-23",15.3275709830568,"genus"
"131","Cephalopholis","Cephalopholis leopardus","MINDA437-23","Cephalopholis polleni","MINDA127-23",16.3970078920591,"genus"
"132","Cephalopholis","Cephalopholis leopardus","MINDA437-23","Cephalopholis microprion","MINDA207-23",16.7124628416896,"genus"
"133","Cephalopholis","Cephalopholis leopardus","MINDA437-23","Cephalopholis aitha","MINDA255-23",15.3460338120343,"genus"
"134","Cephalopholis","Cephalopholis leopardus","MINDA437-23","Cephalopholis sexmaculata","MINDA256-23",11.1820458639251,"genus"
"135","Cephalopholis","Cephalopholis leopardus","MINDA437-23","Cephalopholis sexmaculata","MINDA257-23",11.7459616158105,"genus"
"136","Cephalopholis","Cephalopholis leopardus","MINDA437-23","Cephalopholis boenak","MINDA392-23",17.3693150759441,"genus"
"137","Cephalopholis","Cephalopholis leopardus","MINDA437-23","Cephalopholis sonnerati","MINDA403-23",10.8096046632756,"genus"
"138","Cephalopholis","Cephalopholis leopardus","MINDA437-23","Cephalopholis boenak","MINDA410-23",17.5729813453259,"genus"
"139","Cephalopholis","Cephalopholis leopardus","MINDA437-23","Cephalopholis cyanostigma","MINDA419-23",16.3276043183903,"genus"
"140","Cephalopholis","Cephalopholis microprion","MINDA449-23","Cephalopholis miniata","MINDA026-23",18.6248905611742,"genus"
"141","Cephalopholis","Cephalopholis microprion","MINDA449-23","Cephalopholis aitha","MINDA035-23",16.8868563495237,"genus"
"142","Cephalopholis","Cephalopholis microprion","MINDA449-23","Cephalopholis cyanostigma","MINDA099-23",6.32318347189969,"genus"
"143","Cephalopholis","Cephalopholis microprion","MINDA449-23","Cephalopholis aitha","MINDA115-23",16.8868563495237,"genus"
"144","Cephalopholis","Cephalopholis microprion","MINDA449-23","Cephalopholis polleni","MINDA127-23",16.0099155910317,"genus"
"145","Cephalopholis","Cephalopholis microprion","MINDA449-23","Cephalopholis aitha","MINDA255-23",16.6708732922979,"genus"
"146","Cephalopholis","Cephalopholis microprion","MINDA449-23","Cephalopholis sexmaculata","MINDA256-23",17.0829181420202,"genus"
"147","Cephalopholis","Cephalopholis microprion","MINDA449-23","Cephalopholis sexmaculata","MINDA257-23",17.5186507471424,"genus"
"148","Cephalopholis","Cephalopholis microprion","MINDA449-23","Cephalopholis leopardus","MINDA321-23",17.2537932699996,"genus"
"149","Cephalopholis","Cephalopholis microprion","MINDA449-23","Cephalopholis boenak","MINDA392-23",9.80313911385712,"genus"
"150","Cephalopholis","Cephalopholis microprion","MINDA449-23","Cephalopholis sonnerati","MINDA403-23",15.3942081920396,"genus"
"151","Cephalopholis","Cephalopholis microprion","MINDA449-23","Cephalopholis boenak","MINDA410-23",9.99656295275314,"genus"
"152","Cephalopholis","Cephalopholis microprion","MINDA449-23","Cephalopholis cyanostigma","MINDA419-23",6.32318347189969,"genus"
"153","Cephalopholis","Cephalopholis microprion","MINDA449-23","Cephalopholis leopardus","MINDA437-23",16.6913355228307,"genus"
"154","Cephalopholis","Cephalopholis aitha","MINDA466-23","Cephalopholis miniata","MINDA026-23",20.7026966212292,"genus"
"155","Cephalopholis","Cephalopholis aitha","MINDA466-23","Cephalopholis cyanostigma","MINDA099-23",16.5096228069089,"genus"
"156","Cephalopholis","Cephalopholis aitha","MINDA466-23","Cephalopholis polleni","MINDA127-23",16.5628459794499,"genus"
"157","Cephalopholis","Cephalopholis aitha","MINDA466-23","Cephalopholis microprion","MINDA207-23",15.670187461966,"genus"
"158","Cephalopholis","Cephalopholis aitha","MINDA466-23","Cephalopholis sexmaculata","MINDA256-23",19.1874291464628,"genus"
"159","Cephalopholis","Cephalopholis aitha","MINDA466-23","Cephalopholis sexmaculata","MINDA257-23",18.9746628679558,"genus"
"160","Cephalopholis","Cephalopholis aitha","MINDA466-23","Cephalopholis leopardus","MINDA321-23",16.378834585022,"genus"
"161","Cephalopholis","Cephalopholis aitha","MINDA466-23","Cephalopholis boenak","MINDA392-23",16.597408961936,"genus"
"162","Cephalopholis","Cephalopholis aitha","MINDA466-23","Cephalopholis sonnerati","MINDA403-23",17.9242040634887,"genus"
"163","Cephalopholis","Cephalopholis aitha","MINDA466-23","Cephalopholis boenak","MINDA410-23",16.7986164769223,"genus"
"164","Cephalopholis","Cephalopholis aitha","MINDA466-23","Cephalopholis cyanostigma","MINDA419-23",16.2880662639453,"genus"
"165","Cephalopholis","Cephalopholis aitha","MINDA466-23","Cephalopholis leopardus","MINDA437-23",15.3275709830568,"genus"
"166","Cephalopholis","Cephalopholis aitha","MINDA466-23","Cephalopholis microprion","MINDA449-23",16.8868563495237,"genus"
"167","Chaetodon","Chaetodon trifascialis","MINDA049-23","Chaetodon meyeri","MINDA048-23",17.0748416075499,"genus"
"168","Chaetodon","Chaetodon lunulatus","MINDA050-23","Chaetodon meyeri","MINDA048-23",15.702916074581,"genus"
"169","Chaetodon","Chaetodon lunulatus","MINDA050-23","Chaetodon trifascialis","MINDA049-23",14.4678846979716,"genus"
"170","Chaetodon","Chaetodon melannotus","MINDA053-23","Chaetodon meyeri","MINDA048-23",19.3304085027144,"genus"
"171","Chaetodon","Chaetodon melannotus","MINDA053-23","Chaetodon trifascialis","MINDA049-23",17.5565241033597,"genus"
"172","Chaetodon","Chaetodon melannotus","MINDA053-23","Chaetodon lunulatus","MINDA050-23",15.1268963415164,"genus"
"173","Chaetodon","Chaetodon unimaculatus","MINDA075-23","Chaetodon meyeri","MINDA048-23",19.5994485405541,"genus"
"174","Chaetodon","Chaetodon unimaculatus","MINDA075-23","Chaetodon trifascialis","MINDA049-23",17.3494844700581,"genus"
"175","Chaetodon","Chaetodon unimaculatus","MINDA075-23","Chaetodon lunulatus","MINDA050-23",14.8233505813287,"genus"
"176","Chaetodon","Chaetodon unimaculatus","MINDA075-23","Chaetodon melannotus","MINDA053-23",17.0105780294715,"genus"
"177","Chaetodon","Chaetodon vagabundus","MINDA198-23","Chaetodon meyeri","MINDA048-23",17.1632709989096,"genus"
"178","Chaetodon","Chaetodon vagabundus","MINDA198-23","Chaetodon trifascialis","MINDA049-23",14.2001127557536,"genus"
"179","Chaetodon","Chaetodon vagabundus","MINDA198-23","Chaetodon lunulatus","MINDA050-23",15.3580020597144,"genus"
"180","Chaetodon","Chaetodon vagabundus","MINDA198-23","Chaetodon melannotus","MINDA053-23",11.3896936375242,"genus"
"181","Chaetodon","Chaetodon vagabundus","MINDA198-23","Chaetodon unimaculatus","MINDA075-23",17.2379637590512,"genus"
"182","Chaetodon","Chaetodon oxycephalus","MINDA227-23","Chaetodon meyeri","MINDA048-23",15.9449891320263,"genus"
"183","Chaetodon","Chaetodon oxycephalus","MINDA227-23","Chaetodon trifascialis","MINDA049-23",13.0986383041482,"genus"
"184","Chaetodon","Chaetodon oxycephalus","MINDA227-23","Chaetodon lunulatus","MINDA050-23",16.1249334696433,"genus"
"185","Chaetodon","Chaetodon oxycephalus","MINDA227-23","Chaetodon melannotus","MINDA053-23",12.1828873686558,"genus"
"186","Chaetodon","Chaetodon oxycephalus","MINDA227-23","Chaetodon unimaculatus","MINDA075-23",16.991303947078,"genus"
"187","Chaetodon","Chaetodon oxycephalus","MINDA227-23","Chaetodon vagabundus","MINDA198-23",6.9125016568018,"genus"
"188","Chaetodon","Chaetodon baronessa","MINDA279-23","Chaetodon meyeri","MINDA048-23",20.421460281031,"genus"
"189","Chaetodon","Chaetodon baronessa","MINDA279-23","Chaetodon trifascialis","MINDA049-23",15.6406494921113,"genus"
"190","Chaetodon","Chaetodon baronessa","MINDA279-23","Chaetodon lunulatus","MINDA050-23",18.7286880714905,"genus"
"191","Chaetodon","Chaetodon baronessa","MINDA279-23","Chaetodon melannotus","MINDA053-23",17.7867355671423,"genus"
"192","Chaetodon","Chaetodon baronessa","MINDA279-23","Chaetodon unimaculatus","MINDA075-23",20.859052527014,"genus"
"193","Chaetodon","Chaetodon baronessa","MINDA279-23","Chaetodon vagabundus","MINDA198-23",15.2077190985577,"genus"
"194","Chaetodon","Chaetodon baronessa","MINDA279-23","Chaetodon oxycephalus","MINDA227-23",17.4139779491522,"genus"
"195","Chaetodon","Chaetodon baronessa","MINDA280-23","Chaetodon meyeri","MINDA048-23",19.1108336387299,"genus"
"196","Chaetodon","Chaetodon baronessa","MINDA280-23","Chaetodon trifascialis","MINDA049-23",14.57496514368,"genus"
"197","Chaetodon","Chaetodon baronessa","MINDA280-23","Chaetodon lunulatus","MINDA050-23",17.7644246107929,"genus"
"198","Chaetodon","Chaetodon baronessa","MINDA280-23","Chaetodon melannotus","MINDA053-23",17.5565241033597,"genus"
"199","Chaetodon","Chaetodon baronessa","MINDA280-23","Chaetodon unimaculatus","MINDA075-23",19.2039637551997,"genus"
"200","Chaetodon","Chaetodon baronessa","MINDA280-23","Chaetodon vagabundus","MINDA198-23",14.8662664289858,"genus"
"201","Chaetodon","Chaetodon baronessa","MINDA280-23","Chaetodon oxycephalus","MINDA227-23",16.3195289219233,"genus"
"202","Chaetodon","Chaetodon baronessa","MINDA281-23","Chaetodon meyeri","MINDA048-23",19.1108336387299,"genus"
"203","Chaetodon","Chaetodon baronessa","MINDA281-23","Chaetodon trifascialis","MINDA049-23",14.57496514368,"genus"
"204","Chaetodon","Chaetodon baronessa","MINDA281-23","Chaetodon lunulatus","MINDA050-23",17.7644246107929,"genus"
"205","Chaetodon","Chaetodon baronessa","MINDA281-23","Chaetodon melannotus","MINDA053-23",17.5565241033597,"genus"
"206","Chaetodon","Chaetodon baronessa","MINDA281-23","Chaetodon unimaculatus","MINDA075-23",19.2039637551997,"genus"
"207","Chaetodon","Chaetodon baronessa","MINDA281-23","Chaetodon vagabundus","MINDA198-23",14.8662664289858,"genus"
"208","Chaetodon","Chaetodon baronessa","MINDA281-23","Chaetodon oxycephalus","MINDA227-23",16.3195289219233,"genus"
"209","Chaetodon","Chaetodon kleinii","MINDA282-23","Chaetodon meyeri","MINDA048-23",18.6332640670213,"genus"
"210","Chaetodon","Chaetodon kleinii","MINDA282-23","Chaetodon trifascialis","MINDA049-23",18.6636211425159,"genus"
"211","Chaetodon","Chaetodon kleinii","MINDA282-23","Chaetodon lunulatus","MINDA050-23",15.9006532598722,"genus"
"212","Chaetodon","Chaetodon kleinii","MINDA282-23","Chaetodon melannotus","MINDA053-23",18.6930834552786,"genus"
"213","Chaetodon","Chaetodon kleinii","MINDA282-23","Chaetodon unimaculatus","MINDA075-23",11.0826488490819,"genus"
"214","Chaetodon","Chaetodon kleinii","MINDA282-23","Chaetodon vagabundus","MINDA198-23",16.2067991955151,"genus"
"215","Chaetodon","Chaetodon kleinii","MINDA282-23","Chaetodon oxycephalus","MINDA227-23",17.5119007173189,"genus"
"216","Chaetodon","Chaetodon kleinii","MINDA282-23","Chaetodon baronessa","MINDA279-23",21.4488223601839,"genus"
"217","Chaetodon","Chaetodon kleinii","MINDA282-23","Chaetodon baronessa","MINDA280-23",20.1579152975039,"genus"
"218","Chaetodon","Chaetodon kleinii","MINDA282-23","Chaetodon baronessa","MINDA281-23",20.1579152975039,"genus"
"219","Chaetodon","Chaetodon kleinii","MINDA283-23","Chaetodon meyeri","MINDA048-23",18.427502459766,"genus"
"220","Chaetodon","Chaetodon kleinii","MINDA283-23","Chaetodon trifascialis","MINDA049-23",18.4539772295141,"genus"
"221","Chaetodon","Chaetodon kleinii","MINDA283-23","Chaetodon lunulatus","MINDA050-23",15.7041893528778,"genus"
"222","Chaetodon","Chaetodon kleinii","MINDA283-23","Chaetodon melannotus","MINDA053-23",18.9009839627118,"genus"
